modelo,versao_modelo,data_geracao,modo_resultado,epi_year_origem,epi_week_origem,semana_origem,target_epi_year,target_epi_week,semana_alvo,horizonte_semanas,bairro_norm,populacao,casos_observados_recentes_4s,incidencia_recente_4s_100k,categoria_recente_observada,categoria_prevista,confianca_modelo,prob_baixo,prob_medio,prob_alto,prob_critico,casos_observados_alvo_4s,incidencia_observada_alvo_4s_100k,categoria_observada_alvo,previsao_correta,status_avaliacao,data_avaliacao
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,FUNDAO,7793,0,0.0,Baixo,Baixo,0.999758989187511,0.999758989187511,0.0002059310439828,2.794361635242127e-05,7.136152153697494e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,GRACAS,19694,0,0.0,Baixo,Baixo,0.9998927018204165,0.9998927018204165,9.173412309748868e-05,1.2394398132687078e-05,3.169658353523488e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,GUABIRABA,11095,2,18.026137899954936,Baixo,Baixo,0.999700070675852,0.999700070675852,0.0002692541169105,2.480531296356066e-05,5.869894273982359e-06,2.0,18.026137899954936,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,HIPODROMO,2091,0,0.0,Baixo,Baixo,0.9995756243783152,0.9995756243783152,0.000344532873889,6.575989061459662e-05,1.4082857181209664e-05,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,IBURA,45448,25,55.00792114064426,Baixo,Baixo,0.9935377624001468,0.9935377624001468,0.0064314475904958,2.500278338813425e-05,5.787225969305118e-06,21.0,46.20665375814117,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,ILHA DO LEITE,990,0,0.0,Baixo,Baixo,0.9983486833568956,0.9983486833568956,0.0013230485682666,0.0002964787330226,3.178934181500065e-05,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,ILHA DO RETIRO,3946,0,0.0,Baixo,Baixo,0.9993773667492636,0.9993773667492636,0.0005202658613508,8.636516762535703e-05,1.6002221760113253e-05,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,ILHA JOANA BEZERRA,12257,1,8.158603247124091,Baixo,Baixo,0.999595350597786,0.999595350597786,0.0003494534489713,4.727484732904714e-05,7.92110591365165e-06,2.0,16.317206494248182,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,IMBIRIBEIRA,52158,10,19.172514283523142,Baixo,Baixo,0.9997303804613902,0.9997303804613902,0.0002469499818003,2.009810794975047e-05,2.571448859795012e-06,10.0,19.172514283523142,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,IPSEP,20610,0,0.0,Baixo,Baixo,0.9998666338053652,0.9998666338053652,0.0001200140794274,1.064205693126543e-05,2.710058276011399e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,IPUTINGA,49944,1,2.0022425116130065,Baixo,Baixo,0.9997235847396688,0.9997235847396688,0.0002434015990407,2.7789768071896897e-05,5.2238932186165416e-06,1.0,2.0022425116130065,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,JAQUEIRA,1342,0,0.0,Baixo,Baixo,0.999064694181275,0.999064694181275,0.0007676456792236,0.0001455294915086,2.2130647992844455e-05,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,JARDIM SAO PAULO,29996,0,0.0,Baixo,Baixo,0.9998823135644916,0.9998823135644916,0.0001023529302766,1.2258273853007832e-05,3.0752313788490327e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
